"","rf"
"index_175",395.781639973771
"index_176",540.596044937162
"index_177",331.201090814586
"index_178",307.121766669835
"index_179",4771.75548153267
"index_180",8157.60452469016
"index_181",422.070370154435
"index_182",361.083604079974
"index_183",675.91967037966
"index_184",9922.88877366068
"index_185",486.539360847187
"index_186",315.219275477701
"index_187",264.526382817778
"index_188",256.001835315424
"index_189",714.679522581347
"index_190",486.539360847187
"index_191",675.91967037966
"index_192",336.330500756103
"index_193",422.070370154435
"index_194",372.830202174384
"index_195",315.219275477701
"index_196",307.121766669835
"index_197",336.330500756103
"index_198",763.878087910779
"index_199",653.322432937004
"index_200",486.539360847187
"index_201",145.602919871726
"index_202",265.880623649714
"index_203",431.18766498472
"index_204",714.4419509101
"index_205",8939.79138985754
"index_206",482.239536972439
"index_207",486.539360847187
"index_208",763.878087910779
"index_209",145.602919871726
"index_210",486.539360847187
"index_211",486.539360847187
"index_212",9318.01502606418
"index_213",486.539360847187
"index_214",4691.72063990424
"index_215",372.830202174384
"index_216",265.880623649714
"index_217",431.864835863736
"index_218",714.4419509101
"index_219",482.239536972439
"index_220",605.765701023438
"index_221",361.083604079974
"index_222",2990.52781895164
"index_223",486.539360847187
"index_224",315.219275477701
"index_225",326.894857779639
"index_226",5574.50570042469
"index_227",141.372078834142
"index_228",462.299951580935
"index_229",482.239536972439
"index_230",486.539360847187
"index_231",315.219275477701
"index_232",675.91967037966
"index_233",264.526382817778
"index_234",648.531357829742
"index_235",315.219275477701
"index_236",265.880623649714
"index_237",326.894857779639
"index_238",336.330500756103
"index_239",763.878087910779
"index_240",336.330500756103
"index_241",482.239536972439
"index_242",482.239536972439
"index_243",528.377263797075
"index_244",315.219275477701
"index_245",343.778355882837
"index_246",431.864835863736
"index_247",462.299951580935
"index_248",714.4419509101
"index_249",7528.70066911093
"index_250",3887.88254416815
"index_251",9842.44915227304
"index_252",141.372078834142
"index_253",7528.70066911093
"index_254",714.4419509101
"index_255",361.083604079974
"index_256",9318.01502606418
"index_257",361.083604079974
"index_258",585.691160734889
"index_259",540.596044937162
"index_260",626.088589154231
"index_261",486.539360847187
"index_262",538.04753063487
"index_263",307.121766669835
"index_264",4771.75548153267
"index_265",626.088589154231
"index_266",3843.31340490898
"index_267",4060.64745637796
"index_268",326.894857779639
"index_269",4121.08183417452
"index_270",256.001835315424
"index_271",307.121766669835
"index_272",372.830202174384
"index_273",714.4419509101
"index_274",714.4419509101
"index_275",256.001835315424
"index_276",9318.01502606418
"index_277",96.7788005491122
"index_278",4539.82366232357
"index_279",4233.08052913845
"index_280",462.299951580935
"index_281",482.239536972439
"index_282",3843.31340490898
"index_283",3777.30829935239
"index_284",636.796351994021
"index_285",4080.86816776693
"index_286",486.539360847187
"index_287",953.802401219198
"index_288",315.219275477701
"index_289",626.088589154231
"index_290",714.679522581347
"index_291",5574.50570042469
"index_292",763.878087910779
"index_293",714.679522581347
"index_294",4539.82366232357
"index_295",3887.88254416815
"index_296",10142.103520233
"index_297",462.299951580935
"index_298",315.219275477701
"index_299",648.531357829742
"index_300",540.596044937162
"index_301",4141.19466446578
"index_302",361.083604079974
"index_303",636.796351994021
"index_304",431.864835863736
"index_305",648.531357829742
"index_306",528.377263797075
"index_307",3628.41897925421
"index_308",4771.75548153267
"index_309",462.299951580935
"index_310",431.864835863736
"index_311",5996.21303705569
"index_312",482.239536972439
"index_313",372.830202174384
"index_314",6512.98257960595
"index_315",326.894857779639
"index_316",1003.77058656997
"index_317",486.539360847187
"index_318",4691.72063990424
"index_319",540.596044937162
"index_320",3843.31340490898
"index_321",264.526382817778
"index_322",5996.21303705569
"index_323",264.526382817778
"index_324",422.070370154435
"index_325",4060.64745637796
"index_326",376.16426033723
"index_327",11541.3413557911
"index_328",256.001835315424
"index_329",585.691160734889
"index_330",626.088589154231
"index_331",395.781639973771
"index_332",675.91967037966
"index_333",585.691160734889
"index_334",3887.88254416815
"index_335",4121.08183417452
"index_336",8333.2115465582
"index_337",3832.48417431998
"index_338",307.121766669835
"index_339",675.91967037966
"index_340",7687.43713063181
"index_341",265.880623649714
"index_342",9922.88877366068
"index_343",372.830202174384
"index_344",486.539360847187
"index_345",465.046116114086
"index_346",331.201090814586
"index_347",540.596044937162
"index_348",648.531357829742
"index_349",265.880623649714
"index_350",540.596044937162
"index_351",3543.83803977654
"index_352",331.201090814586
"index_353",336.330500756103
"index_354",395.781639973771
"index_355",3832.48417431998
"index_356",10142.103520233
"index_357",4771.75548153267
"index_358",6512.98257960595
"index_359",5952.34143487941
"index_360",3777.30829935239
"index_361",264.526382817778
"index_362",648.531357829742
"index_363",361.083604079974
"index_364",264.526382817778
"index_365",714.679522581347
"index_366",538.04753063487
"index_367",3832.48417431998
"index_368",361.083604079974
"index_369",395.781639973771
"index_370",5996.21303705569
"index_371",8941.81857624881
"index_372",4121.08183417452
"index_373",8333.2115465582
"index_374",326.894857779639
"index_375",376.16426033723
"index_376",576.090598603173
"index_377",265.880623649714
"index_378",486.539360847187
"index_379",3674.56122247043
"index_380",462.299951580935
"index_381",307.121766669835
"index_382",486.539360847187
"index_383",4771.75548153267
"index_384",4233.08052913845
"index_385",540.596044937162
"index_386",576.090598603173
"index_387",307.121766669835
"index_388",8157.60452469016
"index_389",276.740579672966
"index_390",361.083604079974
"index_391",10283.2828013493
"index_392",372.830202174384
"index_393",361.083604079974
"index_394",431.864835863736
"index_395",265.880623649714
"index_396",919.087507902382
"index_397",265.880623649714
"index_398",4843.80610204553
"index_399",763.878087910779
"index_400",675.91967037966
"index_401",4771.75548153267
"index_402",7810.75618840542
"index_403",4233.08052913845
"index_404",331.201090814586
"index_405",4060.64745637796
"index_406",431.864835863736
"index_407",447.975900494347
"index_408",336.330500756103
"index_409",10142.103520233
"index_410",4771.75548153267
"index_411",626.088589154231
"index_412",326.894857779639
"index_413",372.830202174384
"index_414",482.239536972439
"index_415",256.001835315424
"index_416",540.596044937162
"index_417",3757.28531559043
"index_418",361.083604079974
"index_419",932.883512459678
"index_420",583.751534495974
"index_421",331.201090814586
"index_422",714.679522581347
"index_423",4539.82366232357
"index_424",447.975900494347
"index_425",361.083604079974
"index_426",4691.72063990424
"index_427",836.998589269401
"index_428",630.163506548589
"index_429",714.4419509101
"index_430",265.880623649714
"index_431",919.087507902382
"index_432",395.781639973771
"index_433",447.975900494347
"index_434",482.239536972439
"index_435",714.4419509101
"index_436",3887.88254416815
"index_437",482.239536972439
"index_438",540.596044937162
"index_439",9842.44915227304
"index_440",714.4419509101
"index_441",264.526382817778
"index_442",307.121766669835
"index_443",648.531357829742
"index_444",576.090598603173
"index_445",395.781639973771
"index_446",566.322881802962
"index_447",372.830202174384
"index_448",431.864835863736
"index_449",422.070370154435
"index_450",331.201090814586
"index_451",265.880623649714
"index_452",331.201090814586
"index_453",447.975900494347
"index_454",395.781639973771
"index_455",714.679522581347
"index_456",372.830202174384
"index_457",576.090598603173
"index_458",4069.24064276758
"index_459",482.239536972439
"index_460",825.676755628908
"index_461",39.6108177758617
"index_462",265.880623649714
"index_463",486.539360847187
"index_464",447.975900494347
"index_465",4771.75548153267
"index_466",307.121766669835
"index_467",3843.31340490898
"index_468",431.18766498472
"index_469",6512.98257960595
"index_470",372.830202174384
"index_471",10443.2291640476
"index_472",714.679522581347
"index_473",482.239536972439
"index_474",9922.88877366068
"index_475",431.864835863736
"index_476",307.121766669835
"index_477",4539.82366232357
"index_478",372.830202174384
"index_479",331.201090814586
"index_480",583.751534495974
"index_481",576.090598603173
"index_482",462.299951580935
"index_483",538.04753063487
"index_484",675.91967037966
"index_485",10443.2291640476
"index_486",540.596044937162
"index_487",763.878087910779
"index_488",462.299951580935
"index_489",9922.88877366068
"index_490",331.201090814586
"index_491",256.001835315424
"index_492",276.740579672966
"index_493",8365.81407447071
"index_494",3543.83803977654
"index_495",968.226989767825
"index_496",315.219275477701
"index_497",6568.58983559925
"index_498",538.04753063487
"index_499",395.781639973771
"index_500",5247.95454082969
"index_501",462.299951580935
"index_502",626.088589154231
"index_503",3674.56122247043
"index_504",8157.60452469016
"index_505",372.830202174384
"index_506",3887.88254416815
"index_507",3543.83803977654
"index_508",9878.54798398842
"index_509",538.04753063487
"index_510",8569.57781968516
"index_511",6512.98257960595
"index_512",636.796351994021
"index_513",422.070370154435
"index_514",486.539360847187
"index_515",5652.53732172634
"index_516",315.219275477701
"index_517",8867.53951404909
"index_518",540.596044937162
"index_519",675.91967037966
"index_520",540.596044937162
"index_521",626.088589154231
"index_522",331.201090814586
"index_523",8365.81407447071
"index_524",315.219275477701
"index_525",636.796351994021
"index_526",4060.64745637796
"index_527",336.330500756103
"index_528",336.330500756103
"index_529",447.975900494347
"index_530",3628.41897925421
"index_531",264.526382817778
"index_532",540.596044937162
"index_533",10142.103520233
"index_534",315.219275477701
"index_535",39.6108177758617
"index_536",714.4419509101
"index_537",4121.08183417452
"index_538",372.830202174384
"index_539",5574.50570042469
"index_540",3832.48417431998
"index_541",576.090598603173
"index_542",361.083604079974
"index_543",540.596044937162
"index_544",763.878087910779
"index_545",395.781639973771
"index_546",431.18766498472
"index_547",919.087507902382
"index_548",8941.81857624881
"index_549",343.778355882837
"index_550",315.219275477701
"index_551",5952.34143487941
"index_552",9878.54798398842
"index_553",431.18766498472
"index_554",447.975900494347
"index_555",395.781639973771
"index_556",326.894857779639
"index_557",326.894857779639
"index_558",9318.01502606418
"index_559",4141.19466446578
"index_560",4218.13952314829
"index_561",538.04753063487
"index_562",8333.2115465582
"index_563",4539.82366232357
"index_564",482.239536972439
"index_565",336.330500756103
"index_566",648.531357829742
"index_567",4121.08183417452
"index_568",336.330500756103
"index_569",395.781639973771
"index_570",766.88264985577
"index_571",4060.64745637796
"index_572",4080.86816776693
"index_573",538.04753063487
"index_574",968.226989767825
"index_575",326.894857779639
"index_576",528.377263797075
"index_577",5996.21303705569
"index_578",4539.82366232357
"index_579",315.219275477701
"index_580",315.219275477701
"index_581",265.880623649714
"index_582",315.219275477701
"index_583",431.864835863736
"index_584",10227.6559409964
"index_585",714.4419509101
"index_586",8365.81407447071
"index_587",431.864835863736
"index_588",4060.64745637796
"index_589",714.679522581347
"index_590",331.201090814586
"index_591",763.878087910779
"index_592",336.330500756103
"index_593",431.18766498472
"index_594",4539.82366232357
"index_595",3628.41897925421
"index_596",675.91967037966
"index_597",5247.95454082969
"index_598",540.596044937162
"index_599",307.121766669835
"index_600",264.526382817778
"index_601",145.602919871726
"index_602",96.7788005491122
"index_603",648.531357829742
"index_604",3832.48417431998
"index_605",6568.58983559925
"index_606",540.596044937162
"index_607",538.04753063487
"index_608",447.975900494347
"index_609",307.121766669835
"index_610",265.880623649714
"index_611",540.596044937162
"index_612",8941.81857624881
"index_613",9942.94841183259
"index_614",714.4419509101
"index_615",486.539360847187
"index_616",714.4419509101
"index_617",675.91967037966
"index_618",307.121766669835
"index_619",361.083604079974
"index_620",486.539360847187
"index_621",4121.08183417452
"index_622",431.864835863736
"index_623",763.878087910779
"index_624",675.91967037966
"index_625",3777.30829935239
"index_626",714.679522581347
"index_627",540.596044937162
"index_628",361.083604079974
"index_629",648.531357829742
"index_630",3832.48417431998
"index_631",648.531357829742
"index_632",264.526382817778
"index_633",4233.08052913845
"index_634",486.539360847187
"index_635",4233.08052913845
"index_636",968.226989767825
"index_637",648.531357829742
"index_638",832.521597600996
"index_639",486.539360847187
"index_640",336.330500756103
"index_641",331.201090814586
"index_642",96.7788005491122
"index_643",5996.21303705569
"index_644",307.121766669835
"index_645",331.201090814586
"index_646",145.602919871726
"index_647",331.201090814586
"index_648",538.04753063487
"index_649",395.781639973771
"index_650",540.596044937162
"index_651",146.166647559676
"index_652",326.894857779639
"index_653",6568.58983559925
"index_654",265.880623649714
"index_655",331.201090814586
"index_656",538.04753063487
"index_657",307.121766669835
"index_658",626.088589154231
"index_659",648.531357829742
"index_660",4218.13952314829
"index_661",331.201090814586
"index_662",8569.57781968516
"index_663",376.16426033723
"index_664",4060.64745637796
"index_665",145.602919871726
"index_666",766.88264985577
"index_667",307.121766669835
"index_668",4141.19466446578
"index_669",714.679522581347
"index_670",372.830202174384
"index_671",331.201090814586
"index_672",3887.88254416815
"index_673",307.121766669835
"index_674",486.539360847187
"index_675",39.6108177758617
"index_676",372.830202174384
"index_677",307.121766669835
"index_678",141.372078834142
"index_679",653.322432937004
"index_680",4218.13952314829
"index_681",1003.77058656997
"index_682",265.880623649714
"index_683",626.088589154231
"index_684",763.878087910779
"index_685",372.830202174384
"index_686",422.070370154435
"index_687",4691.72063990424
"index_688",3832.48417431998
"index_689",336.330500756103
"index_690",585.691160734889
"index_691",3628.41897925421
"index_692",361.083604079974
"index_693",336.330500756103
"index_694",4218.13952314829
"index_695",336.330500756103
"index_696",4218.13952314829
"index_697",540.596044937162
"index_698",3628.41897925421
"index_699",336.330500756103
"index_700",361.083604079974
"index_701",395.781639973771
"index_702",361.083604079974
"index_703",585.691160734889
"index_704",2990.52781895164
"index_705",3843.31340490898
"index_706",431.864835863736
"index_707",653.322432937004
"index_708",447.975900494347
"index_709",8157.60452469016
"index_710",486.539360847187
"index_711",9942.94841183259
"index_712",576.090598603173
"index_713",5996.21303705569
"index_714",145.602919871726
"index_715",3777.30829935239
"index_716",486.539360847187
"index_717",361.083604079974
"index_718",372.830202174384
"index_719",361.083604079974
"index_720",361.083604079974
"index_721",714.4419509101
"index_722",540.596044937162
"index_723",648.531357829742
"index_724",4539.82366232357
"index_725",7528.70066911093
"index_726",675.91967037966
"index_727",919.087507902382
"index_728",486.539360847187
"index_729",626.088589154231
"index_730",307.121766669835
"index_731",932.883512459678
"index_732",540.596044937162
"index_733",486.539360847187
"index_734",336.330500756103
"index_735",648.531357829742
"index_736",5652.53732172634
"index_737",486.539360847187
"index_738",581.905185520108
"index_739",431.864835863736
"index_740",4539.82366232357
"index_741",482.239536972439
"index_742",540.596044937162
"index_743",4691.72063990424
"index_744",336.330500756103
"index_745",714.679522581347
"index_746",3757.28531559043
"index_747",4539.82366232357
"index_748",763.878087910779
"index_749",4056.99151418639
"index_750",361.083604079974
"index_751",326.894857779639
"index_752",331.201090814586
"index_753",8157.60452469016
"index_754",9318.01502606418
"index_755",968.226989767825
"index_756",4080.86816776693
"index_757",315.219275477701
"index_758",431.864835863736
"index_759",5882.86999886485
"index_760",486.539360847187
"index_761",648.531357829742
"index_762",9878.54798398842
"index_763",431.864835863736
"index_764",4060.64745637796
"index_765",636.796351994021
"index_766",336.330500756103
"index_767",4218.13952314829
"index_768",361.083604079974
"index_769",422.070370154435
"index_770",3628.41897925421
"index_771",343.778355882837
"index_772",4218.13952314829
"index_773",648.531357829742
"index_774",4218.13952314829
"index_775",431.864835863736
"index_776",4141.19466446578
"index_777",307.121766669835
"index_778",648.531357829742
"index_779",336.330500756103
"index_780",307.121766669835
"index_781",264.526382817778
"index_782",361.083604079974
"index_783",336.330500756103
"index_784",343.778355882837
"index_785",3843.31340490898
"index_786",326.894857779639
"index_787",482.239536972439
"index_788",538.04753063487
"index_789",141.372078834142
"index_790",331.201090814586
"index_791",8333.2115465582
"index_792",486.539360847187
"index_793",10142.103520233
"index_794",5247.95454082969
"index_795",540.596044937162
"index_796",7032.40557385001
"index_797",482.239536972439
"index_798",626.088589154231
"index_799",1003.77058656997
"index_800",315.219275477701
"index_801",4080.86816776693
"index_802",1379.26857812774
"index_803",7528.70066911093
"index_804",4080.86816776693
"index_805",331.201090814586
"index_806",4121.08183417452
"index_807",141.372078834142
"index_808",675.91967037966
"index_809",540.596044937162
"index_810",431.18766498472
"index_811",361.083604079974
"index_812",372.830202174384
"index_813",3887.88254416815
"index_814",4141.19466446578
"index_815",7687.43713063181
"index_816",422.070370154435
"index_817",4060.64745637796
"index_818",361.083604079974
"index_819",431.864835863736
"index_820",447.975900494347
"index_821",482.239536972439
"index_822",265.880623649714
"index_823",648.531357829742
"index_824",636.796351994021
"index_825",3832.48417431998
"index_826",4121.08183417452
"index_827",447.975900494347
"index_828",636.796351994021
"index_829",264.526382817778
"index_830",4218.13952314829
"index_831",10283.2828013493
"index_832",256.001835315424
"index_833",447.975900494347
"index_834",447.975900494347
"index_835",422.070370154435
"index_836",465.046116114086
"index_837",4993.75013808302
"index_838",372.830202174384
"index_839",431.864835863736
"index_840",3887.88254416815
"index_841",315.219275477701
"index_842",538.04753063487
"index_843",361.083604079974
"index_844",482.239536972439
"index_845",447.975900494347
"index_846",96.7788005491122
"index_847",264.526382817778
"index_848",361.083604079974
"index_849",3777.30829935239
"index_850",714.4419509101
"index_851",675.91967037966
"index_852",486.539360847187
"index_853",326.894857779639
"index_854",336.330500756103
"index_855",4233.08052913845
"index_856",462.299951580935
"index_857",462.299951580935
"index_858",626.088589154231
"index_859",4121.08183417452
"index_860",10142.103520233
"index_861",9318.01502606418
"index_862",3628.41897925421
"index_863",968.226989767825
"index_864",528.377263797075
"index_865",361.083604079974
"index_866",447.975900494347
"index_867",675.91967037966
"index_868",538.04753063487
"index_869",361.083604079974
"index_870",447.975900494347
"index_871",5996.21303705569
"index_872",763.878087910779
"index_873",395.781639973771
"index_874",3628.41897925421
"index_875",336.330500756103
"index_876",395.781639973771
"index_877",714.4419509101
"index_878",4121.08183417452
"index_879",8569.57781968516
"index_880",5882.86999886485
"index_881",5952.34143487941
"index_882",395.781639973771
"index_883",714.679522581347
"index_884",326.894857779639
"index_885",932.883512459678
"index_886",540.596044937162
"index_887",482.239536972439
"index_888",5996.21303705569
"index_889",315.219275477701
"index_890",145.602919871726
"index_891",482.239536972439
"index_892",763.878087910779
"index_893",538.04753063487
"index_894",540.596044937162
"index_895",5652.53732172634
"index_896",8157.60452469016
"index_897",431.864835863736
"index_898",431.864835863736
"index_899",675.91967037966
"index_900",836.998589269401
"index_901",538.04753063487
"index_902",486.539360847187
"index_903",486.539360847187
"index_904",4233.08052913845
"index_905",540.596044937162
"index_906",145.602919871726
"index_907",4843.80610204553
"index_908",462.299951580935
"index_909",376.16426033723
"index_910",447.975900494347
"index_911",331.201090814586
"index_912",528.377263797075
"index_913",3543.83803977654
"index_914",9878.54798398842
"index_915",4486.77557789026
"index_916",4539.82366232357
"index_917",576.090598603173
"index_918",395.781639973771
"index_919",146.166647559676
"index_920",540.596044937162
"index_921",146.166647559676
"index_922",431.864835863736
"index_923",3887.88254416815
"index_924",1173.86803867891
"index_925",3628.41897925421
"index_926",336.330500756103
"index_927",482.239536972439
"index_928",528.377263797075
"index_929",264.526382817778
"index_930",714.679522581347
"index_931",331.201090814586
"index_932",326.894857779639
"index_933",315.219275477701
"index_934",4069.24064276758
"index_935",4233.08052913845
"index_936",538.04753063487
"index_937",585.691160734889
"index_938",566.322881802962
"index_939",336.330500756103
"index_940",576.090598603173
"index_941",315.219275477701
"index_942",932.883512459678
"index_943",576.090598603173
"index_944",3843.31340490898
"index_945",264.526382817778
"index_946",605.765701023438
"index_947",540.596044937162
"index_948",4141.19466446578
"index_949",39.6108177758617
"index_950",566.322881802962
"index_951",8157.60452469016
"index_952",486.539360847187
"index_953",431.18766498472
"index_954",576.090598603173
"index_955",372.830202174384
"index_956",265.880623649714
"index_957",326.894857779639
"index_958",372.830202174384
"index_959",763.878087910779
"index_960",145.602919871726
"index_961",540.596044937162
"index_962",5996.21303705569
"index_963",361.083604079974
"index_964",4056.99151418639
"index_965",431.864835863736
"index_966",8569.57781968516
"index_967",1379.26857812774
"index_968",422.070370154435
"index_969",3843.31340490898
"index_970",264.526382817778
"index_971",763.878087910779
"index_972",4486.77557789026
"index_973",538.04753063487
"index_974",331.201090814586
"index_975",307.121766669835
"index_976",264.526382817778
"index_977",264.526382817778
"index_978",486.539360847187
"index_979",5574.50570042469
"index_980",4056.99151418639
"index_981",307.121766669835
"index_982",4056.99151418639
"index_983",315.219275477701
"index_984",3843.31340490898
"index_985",447.975900494347
"index_986",422.070370154435
"index_987",4080.86816776693
"index_988",431.864835863736
"index_989",486.539360847187
"index_990",4233.08052913845
"index_991",4069.24064276758
"index_992",7687.43713063181
"index_993",714.679522581347
"index_994",376.16426033723
"index_995",5882.86999886485
"index_996",5652.53732172634
"index_997",361.083604079974
"index_998",714.679522581347
"index_999",395.781639973771
"index_1000",264.526382817778
"index_1001",141.372078834142
"index_1002",336.330500756103
"index_1003",10142.103520233
"index_1004",825.676755628908
"index_1005",447.975900494347
"index_1006",422.070370154435
"index_1007",3887.88254416815
"index_1008",326.894857779639
"index_1009",39.6108177758617
"index_1010",626.088589154231
"index_1011",919.087507902382
"index_1012",3832.48417431998
"index_1013",331.201090814586
"index_1014",486.539360847187
"index_1015",4771.75548153267
"index_1016",326.894857779639
"index_1017",431.864835863736
"index_1018",8333.2115465582
"index_1019",4121.08183417452
"index_1020",4771.75548153267
"index_1021",636.796351994021
"index_1022",326.894857779639
"index_1023",4771.75548153267
"index_1024",361.083604079974
"index_1025",4771.75548153267
"index_1026",331.201090814586
"index_1027",9318.01502606418
"index_1028",516.045428544628
"index_1029",331.201090814586
"index_1030",763.878087910779
"index_1031",4069.24064276758
"index_1032",675.91967037966
"index_1033",8333.2115465582
"index_1034",653.322432937004
"index_1035",653.322432937004
"index_1036",626.088589154231
"index_1037",343.778355882837
"index_1038",431.864835863736
"index_1039",4233.08052913845
"index_1040",4771.75548153267
"index_1041",4539.82366232357
"index_1042",256.001835315424
"index_1043",326.894857779639
"index_1044",264.526382817778
"index_1045",626.088589154231
"index_1046",3843.31340490898
"index_1047",482.239536972439
"index_1048",361.083604079974
"index_1049",331.201090814586
"index_1050",9922.88877366068
"index_1051",336.330500756103
"index_1052",10283.2828013493
"index_1053",4771.75548153267
"index_1054",336.330500756103
"index_1055",4155.25586317908
"index_1056",581.905185520108
"index_1057",395.781639973771
"index_1058",4155.25586317908
"index_1059",528.377263797075
"index_1060",4771.75548153267
"index_1061",3437.87085053348
"index_1062",141.372078834142
"index_1063",648.531357829742
"index_1064",431.864835863736
"index_1065",4141.19466446578
"index_1066",4218.13952314829
"index_1067",5652.53732172634
"index_1068",315.219275477701
"index_1069",9878.54798398842
"index_1070",648.531357829742
"index_1071",331.201090814586
"index_1072",648.531357829742
"index_1073",8517.89722168237
"index_1074",11541.3413557911
"index_1075",331.201090814586
"index_1076",10283.2828013493
"index_1077",653.322432937004
"index_1078",422.070370154435
"index_1079",636.796351994021
"index_1080",486.539360847187
"index_1081",486.539360847187
"index_1082",636.796351994021
"index_1083",96.7788005491122
"index_1084",540.596044937162
"index_1085",361.083604079974
"index_1086",5247.95454082969
"index_1087",3757.28531559043
"index_1088",447.975900494347
"index_1089",4121.08183417452
"index_1090",648.531357829742
"index_1091",395.781639973771
"index_1092",4069.24064276758
"index_1093",422.070370154435
"index_1094",8941.81857624881
"index_1095",307.121766669835
"index_1096",431.864835863736
"index_1097",675.91967037966
"index_1098",585.691160734889
"index_1099",626.088589154231
"index_1100",331.201090814586
"index_1101",4771.75548153267
"index_1102",1003.77058656997
"index_1103",361.083604079974
"index_1104",4155.25586317908
"index_1105",714.4419509101
"index_1106",3887.88254416815
"index_1107",336.330500756103
"index_1108",8941.81857624881
"index_1109",763.878087910779
"index_1110",431.864835863736
"index_1111",315.219275477701
"index_1112",675.91967037966
"index_1113",331.201090814586
"index_1114",8365.81407447071
"index_1115",636.796351994021
"index_1116",307.121766669835
"index_1117",447.975900494347
"index_1118",4060.64745637796
"index_1119",486.539360847187
"index_1120",4771.75548153267
"index_1121",361.083604079974
"index_1122",486.539360847187
"index_1123",4141.19466446578
"index_1124",482.239536972439
"index_1125",336.330500756103
"index_1126",315.219275477701
