"","rf"
"180","true"
"181","false"
"182","false"
"183","false"
"184","true"
"185","false"
"186","false"
"187","false"
"188","false"
"189","false"
"190","false"
"191","false"
"192","false"
"193","false"
"194","false"
"195","false"
"196","false"
"197","false"
"198","false"
"199","false"
"200","false"
"201","false"
"202","false"
"203","false"
"204","false"
"205","true"
"206","false"
"207","false"
"208","false"
"209","false"
"210","false"
"211","false"
"212","true"
"213","false"
"214","true"
"215","false"
"216","false"
"217","false"
"218","false"
"219","false"
"220","false"
"221","false"
"222","false"
"223","false"
"224","false"
"225","false"
"226","true"
"227","false"
"228","false"
"229","false"
"230","false"
"231","false"
"232","false"
"233","false"
"234","false"
"235","false"
"236","false"
"237","false"
"238","false"
"239","false"
"240","false"
"241","false"
"242","false"
"243","false"
"244","false"
"245","false"
"246","false"
"247","false"
"248","false"
"249","true"
"250","true"
"251","true"
"252","false"
"253","true"
"254","false"
"255","false"
"256","true"
"257","false"
"258","false"
"259","false"
"260","false"
"261","false"
"262","false"
"263","false"
"264","false"
"265","false"
"266","false"
"267","false"
"268","false"
"269","false"
"270","false"
"271","false"
"272","false"
"273","false"
"274","false"
"275","false"
"276","true"
"277","false"
"278","false"
"279","false"
"280","false"
"281","false"
"282","false"
"283","true"
"284","false"
"285","true"
"286","false"
"287","false"
"288","false"
"289","false"
"290","false"
"291","true"
"292","false"
"293","false"
"294","false"
"295","true"
"296","true"
"297","false"
"298","false"
"299","false"
"300","false"
"301","false"
"302","false"
"303","false"
"304","false"
"305","false"
"306","false"
"307","false"
"308","false"
"309","false"
"310","false"
"311","true"
"312","false"
"313","false"
"314","true"
"315","false"
"316","false"
"317","false"
"318","true"
"319","false"
"320","false"
"321","false"
"322","true"
"323","false"
"324","false"
"325","false"
"326","false"
"327","true"
"328","false"
"329","false"
"330","false"
"331","false"
"332","false"
"333","false"
"334","true"
"335","false"
"336","true"
"337","false"
"338","false"
"339","false"
"340","true"
"341","false"
"342","true"
"343","false"
"344","false"
"345","false"
"346","false"
"347","false"
"348","false"
"349","false"
"350","false"
"351","true"
"352","false"
"353","false"
"354","false"
"355","false"
"356","true"
"357","false"
"358","true"
"359","true"
"360","true"
"361","false"
"362","false"
"363","false"
"364","false"
"365","false"
"366","false"
"367","false"
"368","false"
"369","false"
"370","true"
"371","true"
"372","false"
"373","true"
"374","false"
"375","false"
"376","false"
"377","false"
"378","false"
"379","false"
"380","false"
"381","false"
"382","false"
"383","false"
"384","false"
"385","false"
"386","false"
"387","false"
"388","true"
"389","false"
"390","false"
"391","true"
"392","false"
"393","false"
"394","false"
"395","false"
"396","false"
"397","false"
"398","false"
"399","false"
"400","false"
"401","false"
"402","true"
"403","false"
"404","false"
"405","false"
"406","false"
"407","false"
"408","false"
"409","true"
"410","false"
"411","false"
"412","false"
"413","false"
"414","false"
"415","false"
"416","false"
"417","true"
"418","false"
"419","false"
"420","false"
"421","false"
"422","false"
"423","false"
"424","false"
"425","false"
"426","true"
"427","false"
"428","false"
"429","false"
"430","false"
"431","false"
"432","false"
"433","false"
"434","false"
"435","false"
"436","true"
"437","false"
"438","false"
"439","true"
"440","false"
"441","false"
"442","false"
"443","false"
"444","false"
"445","false"
"446","false"
"447","false"
"448","false"
"449","false"
"450","false"
"451","false"
"452","false"
"453","false"
"454","false"
"455","false"
"456","false"
"457","false"
"458","true"
"459","false"
"460","false"
"461","false"
"462","false"
"463","false"
"464","false"
"465","false"
"466","false"
"467","false"
"468","false"
"469","true"
"470","false"
"471","true"
"472","false"
"473","false"
"474","true"
"475","false"
"476","false"
"477","false"
"478","false"
"479","false"
"480","false"
"481","false"
"482","false"
"483","false"
"484","false"
"485","true"
"486","false"
"487","false"
"488","false"
"489","true"
"490","false"
"491","false"
"492","false"
"493","true"
"494","true"
"495","false"
"496","false"
"497","true"
"498","false"
"499","false"
"500","true"
"501","false"
"502","false"
"503","false"
"504","true"
"505","false"
"506","true"
"507","true"
"508","true"
"509","false"
"510","true"
"511","true"
"512","false"
"513","false"
"514","false"
"515","true"
"516","false"
"517","true"
"518","false"
"519","false"
"520","false"
"521","false"
"522","false"
"523","true"
"524","false"
"525","false"
"526","false"
"527","false"
"528","false"
"529","false"
"530","false"
"531","false"
"532","false"
"533","true"
"534","false"
"535","false"
"536","false"
"537","false"
"538","false"
"539","true"
"540","false"
"541","false"
"542","false"
"543","false"
"544","false"
"545","false"
"546","false"
"547","false"
"548","true"
"549","false"
"550","false"
"551","true"
"552","true"
"553","false"
"554","false"
"555","false"
"556","false"
"557","false"
"558","true"
"559","false"
"560","true"
"561","false"
"562","true"
"563","false"
"564","false"
"565","false"
"566","false"
"567","false"
"568","false"
"569","false"
"570","false"
"571","false"
"572","true"
"573","false"
"574","false"
"575","false"
"576","false"
"577","true"
"578","false"
"579","false"
"580","false"
"581","false"
"582","false"
"583","false"
"584","true"
"585","false"
"586","true"
"587","false"
"588","false"
"589","false"
"590","false"
"591","false"
"592","false"
"593","false"
"594","false"
"595","false"
"596","false"
"597","true"
"598","false"
"599","false"
"600","false"
"601","false"
"602","false"
"603","false"
"604","false"
"605","true"
"606","false"
"607","false"
"608","false"
"609","false"
"610","false"
"611","false"
"612","true"
"613","true"
"614","false"
"615","false"
"616","false"
"617","false"
"618","false"
"619","false"
"620","false"
"621","false"
"622","false"
"623","false"
"624","false"
"625","true"
"626","false"
"627","false"
"628","false"
"629","false"
"630","false"
"631","false"
"632","false"
"633","false"
"634","false"
"635","false"
"636","false"
"637","false"
"638","false"
"639","false"
"640","false"
"641","false"
"642","false"
"643","true"
"644","false"
"645","false"
"646","false"
"647","false"
"648","false"
"649","false"
"650","false"
"651","false"
"652","false"
"653","true"
"654","false"
"655","false"
"656","false"
"657","false"
"658","false"
"659","false"
"660","true"
"661","false"
"662","true"
"663","false"
"664","false"
"665","false"
"666","false"
"667","false"
"668","false"
"669","false"
"670","false"
"671","false"
"672","true"
"673","false"
"674","false"
"675","false"
"676","false"
"677","false"
"678","false"
"679","false"
"680","true"
"681","false"
"682","false"
"683","false"
"684","false"
"685","false"
"686","false"
"687","true"
"688","false"
"689","false"
"690","false"
"691","false"
"692","false"
"693","false"
"694","true"
"695","false"
"696","true"
"697","false"
"698","false"
"699","false"
"700","false"
"701","false"
"702","false"
"703","false"
"704","false"
"705","false"
"706","false"
"707","false"
"708","false"
"709","true"
"710","false"
"711","true"
"712","false"
"713","true"
"714","false"
"715","true"
"716","false"
"717","false"
"718","false"
"719","false"
"720","false"
"721","false"
"722","false"
"723","false"
"724","false"
"725","true"
"726","false"
"727","false"
"728","false"
"729","false"
"730","false"
"731","false"
"732","false"
"733","false"
"734","false"
"735","false"
"736","true"
"737","false"
"738","false"
"739","false"
"740","false"
"741","false"
"742","false"
"743","true"
"744","false"
"745","false"
"746","true"
"747","false"
"748","false"
"749","true"
"750","false"
"751","false"
"752","false"
"753","true"
"754","true"
"755","false"
"756","true"
"757","false"
"758","false"
"759","true"
"760","false"
"761","false"
"762","true"
"763","false"
"764","false"
"765","false"
"766","false"
"767","true"
"768","false"
"769","false"
"770","false"
"771","false"
"772","true"
"773","false"
"774","true"
"775","false"
"776","false"
"777","false"
"778","false"
"779","false"
"780","false"
"781","false"
"782","false"
"783","false"
"784","false"
"785","false"
"786","false"
"787","false"
"788","false"
"789","false"
"790","false"
"791","true"
"792","false"
"793","true"
"794","true"
"795","false"
"796","true"
"797","false"
"798","false"
"799","false"
"800","false"
"801","true"
"802","false"
"803","true"
"804","true"
"805","false"
"806","false"
"807","false"
"808","false"
"809","false"
"810","false"
"811","false"
"812","false"
"813","true"
"814","false"
"815","true"
"816","false"
"817","false"
"818","false"
"819","false"
"820","false"
"821","false"
"822","false"
"823","false"
"824","false"
"825","false"
"826","false"
"827","false"
"828","false"
"829","false"
"830","true"
"831","true"
"832","false"
"833","false"
"834","false"
"835","false"
"836","false"
"837","true"
"838","false"
"839","false"
"840","true"
"841","false"
"842","false"
"843","false"
"844","false"
"845","false"
"846","false"
"847","false"
"848","false"
"849","true"
"850","false"
"851","false"
"852","false"
"853","false"
"854","false"
"855","false"
"856","false"
"857","false"
"858","false"
"859","false"
"860","true"
"861","true"
"862","false"
"863","false"
"864","false"
"865","false"
"866","false"
"867","false"
"868","false"
"869","false"
"870","false"
"871","true"
"872","false"
"873","false"
"874","false"
"875","false"
"876","false"
"877","false"
"878","false"
"879","true"
"880","true"
"881","true"
"882","false"
"883","false"
"884","false"
"885","false"
"886","false"
"887","false"
"888","true"
"889","false"
"890","false"
"891","false"
"892","false"
"893","false"
"894","false"
"895","true"
"896","true"
"897","false"
"898","false"
"899","false"
"900","false"
"901","false"
"902","false"
"903","false"
"904","false"
"905","false"
"906","false"
"907","false"
"908","false"
"909","false"
"910","false"
"911","false"
"912","false"
"913","true"
"914","true"
"915","false"
"916","false"
"917","false"
"918","false"
"919","false"
"920","false"
"921","false"
"922","false"
"923","true"
"924","false"
"925","false"
"926","false"
"927","false"
"928","false"
"929","false"
"930","false"
"931","false"
"932","false"
"933","false"
"934","true"
"935","false"
"936","false"
"937","false"
"938","false"
"939","false"
"940","false"
"941","false"
"942","false"
"943","false"
"944","false"
"945","false"
"946","false"
"947","false"
"948","false"
"949","false"
"950","false"
"951","true"
"952","false"
"953","false"
"954","false"
"955","false"
"956","false"
"957","false"
"958","false"
"959","false"
"960","false"
"961","false"
"962","true"
"963","false"
"964","true"
"965","false"
"966","true"
"967","false"
"968","false"
"969","false"
"970","false"
"971","false"
"972","false"
"973","false"
"974","false"
"975","false"
"976","false"
"977","false"
"978","false"
"979","true"
"980","true"
"981","false"
"982","true"
"983","false"
"984","false"
"985","false"
"986","false"
"987","true"
"988","false"
"989","false"
"990","false"
"991","true"
"992","true"
"993","false"
"994","false"
"995","true"
"996","true"
"997","false"
"998","false"
"999","false"
"1000","false"
"1001","false"
"1002","false"
"1003","true"
"1004","false"
"1005","false"
"1006","false"
"1007","true"
"1008","false"
"1009","false"
"1010","false"
"1011","false"
"1012","false"
"1013","false"
"1014","false"
"1015","false"
"1016","false"
"1017","false"
"1018","true"
"1019","false"
"1020","false"
"1021","false"
"1022","false"
"1023","false"
"1024","false"
"1025","false"
"1026","false"
"1027","true"
"1028","false"
"1029","false"
"1030","false"
"1031","true"
"1032","false"
"1033","true"
"1034","false"
"1035","false"
"1036","false"
"1037","false"
"1038","false"
"1039","false"
"1040","false"
"1041","false"
"1042","false"
"1043","false"
"1044","false"
"1045","false"
"1046","false"
"1047","false"
"1048","false"
"1049","false"
"1050","true"
"1051","false"
"1052","true"
"1053","false"
"1054","false"
"1055","true"
"1056","false"
"1057","false"
"1058","true"
"1059","false"
"1060","false"
"1061","false"
"1062","false"
"1063","false"
"1064","false"
"1065","false"
"1066","true"
"1067","true"
"1068","false"
"1069","true"
"1070","false"
"1071","false"
"1072","false"
"1073","true"
"1074","true"
"1075","false"
"1076","true"
"1077","false"
"1078","false"
"1079","false"
"1080","false"
"1081","false"
"1082","false"
"1083","false"
"1084","false"
"1085","false"
"1086","true"
"1087","true"
"1088","false"
"1089","false"
"1090","false"
"1091","false"
"1092","true"
"1093","false"
"1094","true"
"1095","false"
"1096","false"
"1097","false"
"1098","false"
"1099","false"
"1100","false"
"1101","false"
"1102","false"
"1103","false"
"1104","true"
"1105","false"
"1106","true"
"1107","false"
"1108","true"
"1109","false"
"1110","false"
"1111","false"
"1112","false"
"1113","false"
"1114","true"
"1115","false"
"1116","false"
"1117","false"
"1118","false"
"1119","false"
"1120","false"
"1121","false"
"1122","false"
"1123","false"
"1124","false"
"1125","false"
"1126","false"
"1127","false"
"1128","false"
"1129","false"
"1130","false"
"1131","false"
"1132","true"
"1133","false"
"1134","false"
"1135","false"
"1136","false"
"1137","false"
"1138","false"
"1139","true"
"1140","false"
"1141","false"
"1142","false"
"1143","false"
"1144","false"
"1145","false"
"1146","true"
"1147","false"
"1148","false"
"1149","true"
"1150","false"
"1151","false"
"1152","false"
"1153","false"
"1154","true"
"1155","true"
"1156","false"
"1157","false"
"1158","true"
"1159","false"
"1160","false"
"1161","false"
"1162","false"
"1163","false"
"1164","false"
"1165","false"
"1166","false"
"1167","false"
"1168","false"
"1169","false"
"1170","false"
"1171","false"
"1172","false"
"1173","false"
"1174","false"
"1175","false"
"1176","false"
"1177","false"
"1178","true"
"1179","false"
"1180","false"
"1181","false"
"1182","true"
"1183","true"
"1184","false"
"1185","false"
"1186","false"
"1187","false"
"1188","false"
"1189","false"
"1190","false"
"1191","true"
"1192","false"
"1193","false"
"1194","false"
"1195","false"
"1196","false"
"1197","true"
"1198","false"
"1199","true"
"1200","false"
"1201","false"
"1202","false"
"1203","true"
"1204","false"
"1205","false"
"1206","false"
"1207","false"
"1208","false"
"1209","false"
"1210","true"
"1211","false"
"1212","false"
"1213","false"
"1214","false"
"1215","true"
"1216","true"
"1217","false"
"1218","false"
"1219","false"
"1220","false"
"1221","false"
"1222","false"
"1223","false"
"1224","true"
"1225","false"
"1226","false"
"1227","true"
"1228","false"
"1229","false"
"1230","false"
"1231","false"
"1232","false"
"1233","false"
"1234","false"
"1235","false"
"1236","false"
"1237","false"
"1238","false"
"1239","false"
"1240","true"
"1241","false"
"1242","true"
"1243","false"
"1244","true"
"1245","false"
"1246","false"
"1247","false"
"1248","false"
"1249","false"
"1250","false"
"1251","false"
"1252","true"
"1253","false"
"1254","false"
"1255","false"
"1256","false"
"1257","false"
"1258","true"
"1259","false"
"1260","true"
"1261","false"
"1262","false"
"1263","false"
"1264","false"
"1265","true"
"1266","false"
"1267","false"
"1268","false"
"1269","false"
"1270","false"
"1271","false"
"1272","false"
"1273","false"
"1274","false"
"1275","false"
"1276","true"
"1277","false"
"1278","false"
"1279","false"
"1280","false"
"1281","false"
"1282","false"
"1283","false"
"1284","false"
"1285","false"
"1286","false"
"1287","false"
"1288","false"
"1289","false"
"1290","false"
"1291","true"
"1292","false"
"1293","true"
"1294","false"
"1295","false"
"1296","false"
"1297","false"
"1298","true"
"1299","false"
"1300","false"
"1301","false"
"1302","false"
"1303","false"
"1304","true"
"1305","false"
"1306","false"
"1307","false"
"1308","false"
"1309","false"
"1310","false"
"1311","false"
"1312","true"
"1313","false"
"1314","false"
"1315","false"
"1316","false"
"1317","false"
"1318","false"
"1319","false"
"1320","false"
"1321","true"
"1322","false"
"1323","false"
"1324","false"
"1325","false"
"1326","false"
"1327","false"
"1328","false"
"1329","false"
"1330","true"
"1331","false"
"1332","false"
"1333","false"
"1334","false"
"1335","false"
"1336","false"
"1337","false"
"1338","false"
"1339","false"
"1340","false"
"1341","false"
"1342","false"
"1343","true"
"1344","false"
"1345","false"
"1346","false"
"1347","false"
"1348","false"
"1349","false"
"1350","true"
"1351","false"
"1352","false"
"1353","false"
"1354","false"
"1355","false"
"1356","false"
"1357","false"
"1358","false"
"1359","false"
"1360","false"
"1361","false"
"1362","true"
"1363","false"
"1364","false"
"1365","false"
"1366","false"
"1367","false"
"1368","false"
"1369","true"
"1370","true"
"1371","false"
"1372","true"
"1373","false"
"1374","false"
"1375","false"
"1376","false"
"1377","false"
"1378","false"
"1379","true"
"1380","false"
"1381","false"
"1382","false"
"1383","false"
"1384","false"
"1385","false"
"1386","false"
"1387","false"
"1388","false"
"1389","false"
"1390","true"
"1391","true"
"1392","false"
"1393","false"
"1394","true"
"1395","true"
"1396","false"
"1397","true"
"1398","false"
"1399","false"
"1400","false"
"1401","false"
"1402","false"
"1403","false"
"1404","false"
"1405","false"
"1406","false"
"1407","false"
"1408","false"
"1409","false"
"1410","false"
"1411","false"
"1412","true"
"1413","false"
"1414","false"
"1415","false"
"1416","false"
"1417","false"
"1418","false"
"1419","false"
"1420","false"
"1421","true"
"1422","true"
"1423","false"
"1424","false"
"1425","false"
"1426","false"
"1427","false"
"1428","true"
"1429","false"
"1430","false"
"1431","false"
"1432","false"
"1433","false"
"1434","false"
"1435","false"
"1436","false"
"1437","true"
"1438","true"
"1439","false"
"1440","false"
"1441","false"
"1442","true"
"1443","false"
"1444","false"
"1445","false"
"1446","true"
"1447","false"
"1448","false"
"1449","false"
"1450","false"
"1451","false"
"1452","false"
"1453","true"
"1454","true"
"1455","false"
"1456","false"
"1457","false"
"1458","false"
"1459","true"
"1460","false"
"1461","false"
"1462","false"
"1463","false"
"1464","false"
"1465","false"
"1466","false"
"1467","false"
"1468","false"
"1469","false"
"1470","true"
"1471","false"
"1472","false"
"1473","false"
"1474","true"
"1475","false"
"1476","true"
"1477","false"
"1478","false"
"1479","false"
"1480","false"
"1481","false"
"1482","false"
"1483","false"
"1484","false"
"1485","false"
"1486","false"
"1487","false"
"1488","false"
"1489","false"
"1490","false"
"1491","false"
"1492","false"
"1493","false"
"1494","false"
"1495","false"
"1496","true"
"1497","false"
"1498","false"
"1499","false"
"1500","false"
"1501","true"
"1502","false"
"1503","false"
"1504","false"
"1505","false"
"1506","false"
"1507","true"
"1508","false"
"1509","false"
"1510","false"
"1511","false"
"1512","false"
"1513","false"
"1514","false"
"1515","false"
"1516","false"
"1517","false"
"1518","false"
"1519","false"
"1520","false"
"1521","false"
"1522","false"
"1523","true"
"1524","false"
"1525","false"
"1526","false"
"1527","false"
"1528","false"
"1529","false"
"1530","false"
"1531","true"
"1532","false"
"1533","false"
"1534","false"
"1535","false"
"1536","false"
"1537","false"
"1538","false"
"1539","true"
"1540","false"
"1541","false"
"1542","false"
"1543","false"
"1544","false"
"1545","false"
"1546","false"
"1547","false"
"1548","false"
"1549","false"
"1550","false"
"1551","true"
"1552","false"
"1553","false"
"1554","false"
"1555","false"
"1556","false"
"1557","false"
"1558","false"
"1559","false"
"1560","false"
"1561","false"
"1562","false"
"1563","false"
"1564","false"
"1565","true"
"1566","false"
"1567","false"
"1568","false"
"1569","false"
"1570","false"
"1571","false"
"1572","true"
"1573","false"
"1574","false"
"1575","false"
"1576","false"
"1577","false"
"1578","false"
"1579","false"
"1580","false"
"1581","true"
"1582","true"
"1583","false"
"1584","false"
"1585","true"
"1586","false"
"1587","false"
"1588","false"
"1589","true"
"1590","false"
"1591","false"
"1592","false"
"1593","true"
"1594","false"
"1595","false"
"1596","false"
"1597","false"
"1598","false"
"1599","false"
"1600","false"
"1601","false"
"1602","true"
"1603","true"
"1604","false"
"1605","false"
"1606","false"
"1607","false"
"1608","false"
"1609","true"
"1610","true"
"1611","false"
"1612","false"
"1613","true"
"1614","false"
"1615","false"
"1616","false"
"1617","false"
"1618","false"
"1619","false"
"1620","false"
"1621","false"
"1622","false"
"1623","false"
"1624","false"
"1625","false"
"1626","false"
"1627","false"
"1628","false"
"1629","false"
"1630","true"
"1631","true"
"1632","false"
"1633","false"
"1634","true"
"1635","true"
"1636","false"
"1637","false"
"1638","false"
"1639","false"
"1640","true"
"1641","false"
"1642","true"
"1643","true"
"1644","false"
"1645","false"
"1646","false"
"1647","false"
"1648","false"
"1649","false"
"1650","false"
"1651","false"
"1652","false"
"1653","false"
"1654","false"
"1655","false"
"1656","false"
"1657","false"
"1658","false"
"1659","true"
"1660","false"
"1661","false"
"1662","true"
"1663","false"
"1664","false"
"1665","false"
"1666","false"
"1667","false"
"1668","false"
"1669","true"
"1670","false"
"1671","true"
"1672","false"
"1673","false"
"1674","true"
"1675","false"
"1676","false"
"1677","true"
"1678","false"
"1679","false"
"1680","true"
"1681","false"
"1682","false"
"1683","false"
"1684","false"
"1685","true"
"1686","true"
"1687","false"
"1688","false"
"1689","false"
"1690","false"
"1691","false"
"1692","false"
"1693","true"
"1694","false"
"1695","false"
"1696","false"
"1697","false"
"1698","false"
"1699","false"
"1700","false"
"1701","false"
"1702","false"
"1703","false"
"1704","false"
"1705","true"
"1706","true"
"1707","true"
"1708","false"
"1709","false"
"1710","false"
"1711","false"
"1712","false"
"1713","false"
"1714","true"
"1715","false"
"1716","false"
"1717","false"
"1718","false"
"1719","false"
"1720","false"
"1721","false"
"1722","true"
"1723","false"
"1724","false"
"1725","false"
"1726","false"
"1727","false"
"1728","false"
"1729","true"
"1730","false"
"1731","true"
"1732","true"
"1733","false"
"1734","false"
"1735","true"
"1736","false"
"1737","false"
"1738","false"
"1739","true"
"1740","false"
"1741","false"
"1742","false"
"1743","false"
"1744","false"
"1745","false"
"1746","false"
"1747","false"
"1748","false"
"1749","true"
"1750","false"
"1751","false"
"1752","false"
"1753","false"
"1754","true"
"1755","false"
"1756","false"
"1757","true"
"1758","false"
"1759","false"
"1760","false"
"1761","false"
"1762","false"
"1763","false"
"1764","false"
"1765","false"
"1766","false"
"1767","false"
"1768","false"
"1769","false"
"1770","true"
"1771","true"
"1772","true"
"1773","false"
"1774","false"
"1775","false"
"1776","false"
"1777","false"
"1778","false"
"1779","false"
"1780","false"
"1781","true"
"1782","true"
"1783","false"
"1784","false"
"1785","false"
"1786","false"
"1787","false"
"1788","true"
"1789","true"
"1790","false"
"1791","false"
"1792","true"
"1793","true"
"1794","false"
"1795","false"
"1796","true"
"1797","false"
"1798","false"
"1799","false"
"1800","false"
"1801","false"
"1802","false"
"1803","false"
"1804","false"
"1805","false"
"1806","false"
"1807","false"
"1808","false"
"1809","false"
"1810","false"
"1811","false"
"1812","true"
"1813","true"
"1814","false"
"1815","false"
"1816","false"
"1817","false"
"1818","false"
"1819","true"
"1820","false"
"1821","false"
"1822","true"
"1823","false"
"1824","false"
"1825","false"
"1826","false"
"1827","false"
"1828","true"
"1829","false"
"1830","false"
"1831","false"
"1832","false"
"1833","false"
"1834","true"
"1835","false"
"1836","true"
"1837","true"
"1838","false"
"1839","false"
"1840","false"
"1841","false"
"1842","false"
"1843","true"
"1844","true"
"1845","false"
"1846","false"
"1847","false"
"1848","false"
"1849","false"
"1850","true"
"1851","true"
"1852","true"
"1853","true"
"1854","true"
"1855","false"
"1856","false"
"1857","false"
"1858","true"
"1859","true"
"1860","false"
"1861","false"
"1862","true"
"1863","false"
"1864","false"
"1865","false"
"1866","false"
"1867","false"
"1868","true"
"1869","false"
"1870","false"
"1871","false"
"1872","false"
"1873","true"
"1874","false"
"1875","false"
"1876","true"
"1877","true"
"1878","true"
"1879","false"
"1880","false"
"1881","false"
"1882","true"
"1883","false"
"1884","false"
"1885","false"
"1886","false"
"1887","false"
"1888","true"
"1889","false"
"1890","false"
"1891","false"
"1892","false"
"1893","false"
"1894","true"
"1895","false"
"1896","false"
"1897","false"
"1898","false"
"1899","false"
"1900","true"
"1901","false"
"1902","false"
"1903","false"
"1904","false"
"1905","false"
"1906","true"
"1907","false"
"1908","true"
"1909","false"
"1910","true"
"1911","false"
"1912","false"
"1913","false"
"1914","false"
"1915","true"
"1916","true"
"1917","false"
"1918","false"
"1919","false"
"1920","false"
"1921","false"
"1922","false"
"1923","false"
"1924","false"
"1925","true"
"1926","false"
"1927","false"
"1928","true"
"1929","false"
"1930","false"
"1931","false"
"1932","false"
"1933","false"
"1934","false"
"1935","false"
"1936","false"
"1937","false"
"1938","false"
"1939","true"
"1940","false"
"1941","false"
"1942","false"
"1943","false"
"1944","true"
"1945","false"
"1946","false"
"1947","true"
"1948","true"
"1949","true"
"1950","false"
"1951","false"
"1952","false"
"1953","false"
"1954","false"
"1955","false"
"1956","false"
"1957","false"
"1958","false"
"1959","false"
"1960","false"
"1961","false"
"1962","false"
"1963","false"
"1964","false"
"1965","false"
"1966","false"
"1967","true"
"1968","false"
"1969","false"
"1970","false"
"1971","false"
"1972","false"
"1973","false"
"1974","false"
"1975","false"
"1976","false"
"1977","false"
"1978","true"
"1979","true"
"1980","false"
"1981","false"
"1982","false"
"1983","false"
"1984","false"
"1985","false"
"1986","false"
"1987","true"
"1988","false"
"1989","false"
"1990","false"
"1991","false"
"1992","false"
"1993","false"
"1994","false"
"1995","false"
"1996","false"
"1997","false"
"1998","false"
"1999","false"
"2000","false"
"2001","false"
"2002","false"
"2003","false"
"2004","false"
"2005","true"
"2006","true"
"2007","false"
"2008","false"
"2009","false"
"2010","false"
"2011","false"
"2012","false"
"2013","false"
"2014","false"
"2015","false"
"2016","true"
"2017","false"
"2018","false"
"2019","false"
"2020","false"
"2021","true"
"2022","false"
"2023","false"
"2024","true"
"2025","false"
"2026","false"
"2027","false"
"2028","false"
"2029","false"
"2030","false"
"2031","true"
"2032","true"
"2033","false"
"2034","false"
"2035","false"
"2036","false"
"2037","false"
"2038","false"
"2039","false"
"2040","false"
"2041","false"
"2042","false"
"2043","false"
"2044","false"
"2045","true"
"2046","false"
"2047","true"
"2048","false"
"2049","true"
"2050","false"
"2051","false"
"2052","false"
"2053","false"
"2054","true"
"2055","true"
"2056","false"
"2057","false"
"2058","false"
"2059","true"
"2060","false"
"2061","false"
"2062","false"
"2063","true"
"2064","false"
"2065","false"
"2066","false"
"2067","false"
"2068","false"
"2069","false"
"2070","false"
"2071","false"
"2072","false"
"2073","false"
"2074","false"
"2075","false"
"2076","true"
"2077","true"
"2078","true"
"2079","false"
"2080","false"
"2081","false"
"2082","false"
"2083","false"
"2084","false"
"2085","false"
"2086","false"
"2087","false"
"2088","false"
"2089","false"
"2090","false"
"2091","false"
"2092","false"
"2093","false"
"2094","true"
"2095","false"
"2096","true"
"2097","false"
"2098","false"
"2099","false"
"2100","false"
"2101","false"
"2102","false"
"2103","false"
"2104","false"
"2105","false"
"2106","false"
"2107","false"
"2108","false"
"2109","false"
"2110","false"
"2111","false"
"2112","false"
"2113","false"
"2114","true"
"2115","false"
"2116","false"
"2117","false"
"2118","false"
"2119","false"
"2120","true"
"2121","false"
"2122","false"
"2123","false"
"2124","false"
"2125","false"
"2126","false"
"2127","false"
"2128","false"
"2129","false"
"2130","false"
"2131","false"
"2132","true"
"2133","false"
"2134","false"
"2135","false"
"2136","false"
"2137","true"
"2138","false"
"2139","false"
"2140","false"
"2141","false"
